タイトル,メモ,URL,コメント
愛徳修道士会,,https://www.google.com/maps/place/%E6%84%9B%E5%BE%B3%E4%BF%AE%E9%81%93%E5%A3%AB%E4%BC%9A/data=!4m2!3m1!1s0x3555929a32485a93:0x10bce9c75e21caf1,
聖家族 カトリック福知山教会,,https://www.google.com/maps/place/%E8%81%96%E5%AE%B6%E6%97%8F+%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E7%A6%8F%E7%9F%A5%E5%B1%B1%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x600002f00b33a8a5:0x986c415066677c57,
カトリック報恩寺教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E5%A0%B1%E6%81%A9%E5%AF%BA%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60001d126c19d937:0xe4c492cb00100581,
カトリック茨木教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E8%8C%A8%E6%9C%A8%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000e2d132300001:0x6523a874d31dd9bd,
カトリック高槻教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E9%AB%98%E6%A7%BB%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x600102cad261e51f:0x56c50fb61b87e0f7,
カトリック旭川神居教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E6%97%AD%E5%B7%9D%E7%A5%9E%E5%B1%85%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x5f0ce9fe4acf5fb3:0x95a56dc0136e5282,
カトリック韮崎教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E9%9F%AE%E5%B4%8E%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x601c0b968433f3f7:0xb37c53097404857d,
カトリック塩山教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E5%A1%A9%E5%B1%B1%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x601955e464bbffff:0x7b34f1138145c569,
小原ケイ記念聖堂,,https://www.google.com/maps/place/%E5%B0%8F%E5%8E%9F%E3%82%B1%E3%82%A4%E8%A8%98%E5%BF%B5%E8%81%96%E5%A0%82/data=!4m2!3m1!1s0x60231fc680da55ef:0xdad4b8d9f8c38b1a,
カトリック白河教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E7%99%BD%E6%B2%B3%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60203aeec59ba8f1:0x487cc94d019c0cd1,
カトリック豊四季教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E8%B1%8A%E5%9B%9B%E5%AD%A3%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60189b789afcfda9:0x5d73cb4fd775f85,
カトリック三河島教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E4%B8%89%E6%B2%B3%E5%B3%B6%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60188e6fbf6bd01d:0x1b2b442fddfce709,
Nakamachi Catholic Church,,https://www.google.com/maps/place/Nakamachi+Catholic+Church/data=!4m2!3m1!1s0x354f61dc344fbbb3:0x248ed245da355787,
カトリック山城教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E5%B1%B1%E5%9F%8E%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x601bfa3efff4d24f:0x9737f7bb80e30eee,
カトリック甲府教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E7%94%B2%E5%BA%9C%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x601bf9c612257e23:0x8aed0f878db002b1,
浦上教会,,https://www.google.com/maps/place/%E6%B5%A6%E4%B8%8A%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x356aacc5347911fd:0x48d5a3304b36aaae,
カトリック池田教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E6%B1%A0%E7%94%B0%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000f0c5f7f55b9b:0x315146eee512eb85,
ノートルダム修道院,,https://www.google.com/maps/place/%E3%83%8E%E3%83%BC%E3%83%88%E3%83%AB%E3%83%80%E3%83%A0%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x5f8a85d849289863:0xaa764f58f36ec14,
無原罪聖母宣教女会,,https://www.google.com/maps/place/%E7%84%A1%E5%8E%9F%E7%BD%AA%E8%81%96%E6%AF%8D%E5%AE%A3%E6%95%99%E5%A5%B3%E4%BC%9A/data=!4m2!3m1!1s0x6020131ef3fabbff:0xb4f434e2a1691fe3,
無原罪聖母宣教女会修道院,,https://www.google.com/maps/place/%E7%84%A1%E5%8E%9F%E7%BD%AA%E8%81%96%E6%AF%8D%E5%AE%A3%E6%95%99%E5%A5%B3%E4%BC%9A%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x5ff5549fada0dd23:0xd722613f593ad692,
シャルトル聖パウロ修道女会泉修道院,,https://www.google.com/maps/place/%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%88%E3%83%AB%E8%81%96%E3%83%91%E3%82%A6%E3%83%AD%E4%BF%AE%E9%81%93%E5%A5%B3%E4%BC%9A%E6%B3%89%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x5f8986b482a333d5:0x5b63d1a05d84075,
FRANCISCAN CHAPEL CENTER,,https://www.google.com/maps/place/FRANCISCAN+CHAPEL+CENTER/data=!4m2!3m1!1s0x60188b82ea19054b:0x21051dceba802919,
